"Part1","Part2"
"RNU4-1","RN7SL575P"
"RNU4-1","RNU6-1251P"
"RNU4-1","RPPH1"
"RNU4-1","RPPH1"
"RNU4-1","RNU6-27P"
"RNU4-1","RNU6-1251P"
"RNU4-1","RNA28S5"
"RNU4-1","RNA28S5"
"RNU4-1","RNU6-1251P"
"RNU4-1","RNU6-1251P"
"RNU4-1","RNU6-1251P"
"RNU4-1","RPPH1"
"RNU4-1","RN7SL575P"
"RNU4-1","RNU6-27P"
"RNU4-1","RPPH1"
"RNU4-1","RNU6-720P"
"RNU4-1","RNU6-44P"
"RNU4-1","RNU6-1058P"
"RNU4-1","RNU6-47P"
"RNU4-1","RNU6-929P"
"RNU4-1","RPPH1"
"RNU4-1","RPPH1"
"RNU4-1","RPPH1"
"RNU4-1","RNU6-97P"
"RNU4-1","RNU6-1301P"
"RNU4-1","SCARNA22"
"RNU4-1","RNU6-164P"
"RNU4-1","RNU6-1251P"
"RNU4-1","RNU6-650P"
"RNU4-1","SCARNA22"
"RNU4-1","RNU6-1251P"
"RNU4-1","RNU6-1251P"
"RNU4-1","RNU6-39P"
